id,ai,deck,score,age,boardgameexp,gamer,hanabiexp,recent,maxscore,intention,skill,like,publish
e3f99bfa4535678e, outer, 5, 4, 20s, 4, yes, 2, 4, 1, 2, 2, 3, yes
4dacd064a3248f0e, full, 5, 18, , , , , , , , , , yes
3c9aaeb0d04b438d, outer, 1, 10, 20s, 4, yes, 3, 4, 2, 3, 1, 2, yes
f5b1cb17dbec782a, full, 5, 19, 20s, 4, yes, 3, 3, 1, 4, 3, 3, yes
bee42cbbcf5755e4, outer, 5, 4, 20s, 4, yes, 1, 1, 1, 3, 3, 3, yes
5d82cb8a155dbd34, full, 5, 21, 20s, 4, yes, 3, 4, 3, 4, 5, 5, yes
84764327def60e22, intentional, 4, 19, 30s, 4, yes, 3, 4, 3, 4, 3, 4, yes
f10ef47e05746467, outer, 5, 9, 30s, 4, yes, 4, 4, 3, 4, 3, 4, yes
7efc5873e6c46721, intentional, 5, 18, 20s, 4, yes, 3, 4, 3, 3, 3, 3, yes
06f86707644f3a56, intentional, 5, 17, 20s, 4, yes, 2, 4, 1, 4, 3, 2, yes
9e777a71681dfa82, outer, 2, 13, 40s, 4, yes, 3, 4, 1, 3, 2, 4, yes
594a2daf965aa5ca, full, 2, 3, 20s, 4, yes, 2, 4, 2, 2, 1, 1, yes
fbadf6e2726d706f, outer, 2, 16, 30s, 4, yes, 3, 4, 3, 3, 3, 2, yes
6627789108b41ca2, outer, 4, 14, 20s, 3, yes, 3, 4, 3, 3, 3, 3, yes
da1b2cc86155f95b, intentional, 4, 16, 30s, 4, yes, 4, 3, 1, 4, 3, 2, yes
cac4664e95e21547, full, 2, 19, 20s, 3, yes, 2, 3, 2, 4, 4, 4, yes
00fcde600f92f2a0, outer, 2, 11, 20s, 4, yes, 3, 4, 1, 3, 3, 4, yes
86f17ac44dc7e324, full, 3, 9, 20s, 4, yes, 2, 4, 3, 3, 2, 3, yes
cfae3ca2f65f0b94, intentional, 1, 15, , , , , , , , , , yes
71e4da43e7c685d7, full, 5, 15, 20s, 4, yes, 2, 4, 1, 3, 2, 3, yes
628c5feb96e74550, outer, 1, 15, 30s, 4, yes, 4, 4, 4, 2, 1, 1, yes
c6bd40b0a7053499, outer, 5, 13, 30s, 4, yes, 3, 4, 1, 2, 2, 2, yes
f9c5041c085435cf, full, 1, 18, 20s, 4, yes, 3, 4, 3, 3, 1, 3, yes
0b1a2a0acb3dbf7d, outer, 4, 16, 50s, 3, yes, 2, 4, 1, 3, 3, 4, yes
72baf9552ea98e03, full, 3, 10, 30s, 4, yes, 3, 4, 3, 3, 2, 2, yes
a2eab9ff05e364f6, outer, 5, 8, 30s, 4, yes, 2, 4, 1, 3, 3, 4, yes
250d650b8522d958, full, 4, 8, 20s, 4, yes, 2, 4, 2, 3, 2, 2, yes
cf2a5d42843b7397, intentional, 4, 17, 30s, 4, yes, 3, 4, 1, 3, 3, 2, yes
53b26ce8a91654ea, full, 1, 15, 30s, 4, yes, 4, 4, 4, 5, 2, 3, yes
b42f6b3c826e14ff, outer, 3, 5, 30s, 4, yes, 3, 3, 3, 3, 2, 2, yes
5f60b9ee05cf73cc, full, 2, 18, 20s, 4, yes, 3, 3, 1, 4, 4, 4, yes
e9f1e39464eb6aa4, intentional, 1, 18, 20s, 4, yes, 3, 4, 2, 3, 2, 1, yes
23062825a1bc28fc, intentional, 2, 17, 40s, 4, yes, 4, 4, 4, 3, 1, 1, yes
da31e902dead47e8, intentional, 5, 15, 20s, 4, yes, 3, 4, 2, 3, 2, 1, yes
b2c6bef0a1ed09a8, outer, 4, 14, 20s, 4, yes, 1, 1, 1, 3, 3, 4, yes
92859eb517ad4608, outer, 3, 8, 20s, 4, yes, 3, 4, 2, 4, 2, 2, yes
ebcd1390ce4a6193, outer, 1, 15, 30s, 4, yes, 2, 2, 2, 4, 3, 4, yes
1593ac699e340f60, intentional, 2, 16, 30s, 4, yes, 1, 1, 1, 2, 2, 2, yes
09d75720fe852e72, intentional, 2, 16, 20s, 4, yes, 4, 4, 4, 2, 2, 1, yes
127d4985fd094b11, intentional, 1, 7, 20s, 3, yes, 1, 1, 1, 2, 1, 1, yes
cc9f58c126cc648e, outer, 4, 13, 50s, 4, yes, 3, 4, 2, 3, 3, 3, yes
71596b62c08f2aef, intentional, 1, 16, 20s, 2, no, 3, 4, 1, 3, 1, 1, yes
7c410fab0792a1a6, full, 5, 4, 20s, 4, yes, 3, 3, 3, 3, 1, 1, yes
7a483b4fbdf50717, outer, 4, 16, 30s, 4, yes, 2, 2, 1, 4, 3, 2, yes
5d3421e2ae1d7ba3, outer, 1, 16, 20s, 4, no, 3, 3, 3, 3, 2, 2, yes
fcb0678812970909, outer, 1, 16, 30s, 4, yes, 1, 1, 1, 4, 4, 4, yes
2febf2d649e0bd3a, outer, 3, 9, 20s, 3, no, 2, 3, 2, 4, 3, 2, yes
393febb284db5d16, intentional, 5, 15, 40s, 4, yes, 4, 4, 4, 2, 2, 2, yes
b2855bce0b5908c6, intentional, 3, 16, 30s, 4, yes, 3, 4, 3, 4, 3, 4, yes
d942921e8c763b47, outer, 5, 15, 20s, 4, yes, 3, 4, 2, 4, 3, 5, yes
